Metabolities	Before	After	Ratio
C27H48O3 + Na	3.792341435125477	3.907998264896897	0.1156568297714201
Fumaric acid / Maleic acid	3.879885377365186	4.213218384652529	0.3333330072873431
Acetylpyruvate	3.9421929529711255	4.17789033220681	0.23569737923568432
Ketoglutaric acid	3.785329835010767	4.090279690676785	0.30494985566601746
Methylmalate	4.295049175333825	4.572063806850674	0.2770146315168493
Aconitic acid	4.018132752333627	4.374249506669124	0.3561167543354973
